"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda30","hedase30","hedtl","hedtlm","hedalc","hedact","N3","ddla","ddlase"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","20","24","0","365","0","0","365","0.302114803625378","0.301658091642973","99.6978851963746","0.301658091642972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","20","24","0","30","0","0","30","0.302114803625378","0.301658091642973","99.6978851963746","0.301658091642972","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","30","34","0","365","0","0","365","0.462962962962963","0.461890046195164","99.537037037037","0.461890046195165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","30","34","0","30","0","0","30","0.462962962962963","0.461890046195164","99.537037037037","0.461890046195165","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","40","44","1","365","100","0","365","0","0","99.4791666666667","0.519475225850081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","40","44","1","30","100","0","30","0","0","99.4791666666667","0.519475225850081","1","100","0","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","15","70","1","365","33.3333333333333","27.2165526975909","365","0.104384133611691","0.073772195321948","99.8434237995825","0.0903285118315107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","female","15","70","1","30","33.3333333333333","27.2165526975909","30","0.104384133611691","0.073772195321948","99.8434237995825","0.0903285118315107","1","33.3333333333333","27.2165526975909","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","15","19","1","365","100","0","365","0","0","99.3506493506494","0.647238934329532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","15","19","0","30","0","0","30","0","0","99.3506493506494","0.647238934329532","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","20","24","8","365","72.7272727272727","13.4281626522908","365","0.93167701863354","0.535392349881378","96.583850931677","1.01226152375256",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1.5","0.844371341865037"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","20","24","4","30","36.3636363636364","14.5040733675903","30","0.93167701863354","0.535392349881378","96.583850931677","1.01226152375256","1","9.09090909090909","8.66784172041448","25","21.650635094611","30","1","60","total","4","1.5","0.844371341865037"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","25","29","3","365","100","0","365","0","0","98.728813559322","0.729240169631054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","25","29","1","30","33.3333333333333","27.2165526975909","30","0","0","98.728813559322","0.729240169631054","1","33.3333333333333","27.2165526975909","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","30","34","1","365","33.3333333333333","27.2165526975909","365","1.21951219512195","0.857051132315521","98.1707317073171","1.04642424469633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","30","34","0","30","0","0","30","1.21951219512195","0.857051132315521","98.1707317073171","1.04642424469633","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","35","39","1","365","12.5","11.6926793336686","365","3.82513661202186","1.41784488022494","95.6284153005464","1.51142772072546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","35","39","1","30","12.5","11.6926793336686","30","3.82513661202186","1.41784488022494","95.6284153005464","1.51142772072546","1","12.5","11.6926793336686","100","0","30","1","60","total",NA,NA,NA
